DATE,USGOVFEDMILRGSP
1997-01-01,270232.7
1998-01-01,264864.4
1999-01-01,259299.0
2000-01-01,257947.5
2001-01-01,257240.5
2002-01-01,261813.8
2003-01-01,274792.8
2004-01-01,280417.8
2005-01-01,288161.6
2006-01-01,290876.9
2007-01-01,294838.9
2008-01-01,308009.8
2009-01-01,317257.2
2010-01-01,321190.6
2011-01-01,323220.5
2012-01-01,322468.0
2013-01-01,314798.3
2014-01-01,304616.6
2015-01-01,295241.4
2016-01-01,291163.0
2017-01-01,287628.5
2018-01-01,288004.5
2019-01-01,291057.0
2020-01-01,297493.8
2021-01-01,301987.1
